@relation relasionsita

@attribute dia {Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo}
@attribute mes {Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre}
@attribute hora numeric
@attribute tipo {Laboral,Festivo,Víspera}
@attribute cantidad numeric

@data
Jueves,Julio,22,Laboral,5300
Viernes,Julio,22,Laboral,4906
Sábado,Julio,22,Víspera,5395
Domingo,Julio,22,Festivo,3746
Lunes,Julio,23,Laboral,3825
Martes,Julio,23,Laboral,3412
Miércoles,Julio,23,Laboral,3076
Jueves,Julio,23,Laboral,3339
Viernes,Julio,23,Laboral,3365
Sábado,Julio,23,Víspera,3514
Domingo,Julio,23,Festivo,3620
Lunes,Julio,24,Laboral,3329
Martes,Julio,24,Laboral,1992
Miércoles,Julio,24,Laboral,1621
Jueves,Julio,24,Laboral,1748
Viernes,Julio,24,Laboral,1860
Sábado,Julio,24,Víspera,2071
Domingo,Julio,24,Festivo,2048
Lunes,Julio,1,Laboral,1858
Martes,Julio,1,Laboral,2309
Miércoles,Julio,1,Laboral,892
Jueves,Julio,1,Laboral,848
Viernes,Julio,1,Laboral,923
Sábado,Julio,1,Víspera,1052
Domingo,Julio,1,Festivo,1245
Lunes,Julio,2,Laboral,1191
Martes,Julio,2,Laboral,1369
